film_id,title,description,release_year,language_id,original_language_id,rental_duration,rental_rate,length,replacement_cost,rating,category_id
22,AMISTAD MIDSUMMER,A EMOTIONAL CHARACTER STUDY OF A DENTIST AND A CROCODILE WHO MUST MEET A SUMO WRESTLER IN CALIFORNIA,2006,1,7,6,2.99,85,10.99,G,17
23,ANACONDA CONFESSIONS,A LACKLUSTURE DISPLAY OF A DENTIST AND A DENTIST WHO MUST FIGHT A GIRL IN AUSTRALIA,2006,1,7,3,0.99,92,9.99,R,2
24,ANALYZE HOOSIERS,A THOUGHTFUL DISPLAY OF A EXPLORER AND A PASTRY CHEF WHO MUST OVERCOME A FEMINIST IN THE SAHARA DESERT,2006,1,7,6,2.99,181,19.99,R,11
25,ANGELS LIFE,A THOUGHTFUL DISPLAY OF A WOMAN AND A ASTRONAUT WHO MUST BATTLE A ROBOT IN BERLIN,2006,1,7,3,2.99,74,15.99,G,13
26,ANNIE IDENTITY,A AMAZING PANORAMA OF A PASTRY CHEF AND A BOAT WHO MUST ESCAPE A WOMAN IN AN ABANDONED AMUSEMENT PARK,2006,1,7,3,0.99,86,15.99,G,17
27,ANONYMOUS HUMAN,A AMAZING REFLECTION OF A DATABASE ADMINISTRATOR AND A ASTRONAUT WHO MUST OUTRACE A DATABASE ADMINISTRATOR IN A SHARK TANK,2006,1,7,7,0.99,179,12.99,NC-17,15
28,ANTHEM LUKE,A TOUCHING PANORAMA OF A WAITRESS AND A WOMAN WHO MUST OUTRACE A DOG IN AN ABANDONED AMUSEMENT PARK,2006,1,7,5,4.99,91,16.99,PG-13,17
29,ANTITRUST TOMATOES,A FATEFUL YARN OF A WOMANIZER AND A FEMINIST WHO MUST SUCCUMB A DATABASE ADMINISTRATOR IN ANCIENT INDIA,2006,1,7,5,2.99,168,11.99,NC-17,1
30,ANYTHING SAVANNAH,A EPIC STORY OF A PASTRY CHEF AND A WOMAN WHO MUST CHASE A FEMINIST IN AN ABANDONED FUN HOUSE,2006,1,7,4,2.99,82,27.99,R,11
31,APACHE DIVINE,A AWE-INSPIRING REFLECTION OF A PASTRY CHEF AND A TEACHER WHO MUST OVERCOME A SUMO WRESTLER IN A U-BOAT,2006,1,7,5,4.99,92,16.99,NC-17,8
32,APOCALYPSE FLAMINGOS,A ASTOUNDING STORY OF A DOG AND A SQUIRREL WHO MUST DEFEAT A WOMAN IN AN ABANDONED AMUSEMENT PARK,2006,1,7,6,4.99,119,11.99,R,17
33,APOLLO TEEN,A ACTION-PACKED REFLECTION OF A CROCODILE AND A EXPLORER WHO MUST FIND A SUMO WRESTLER IN AN ABANDONED MINE SHAFT,2006,1,7,5,2.99,153,15.99,PG-13,17
34,ARABIA DOGMA,A TOUCHING EPISTLE OF A MADMAN AND A MAD COW WHO MUST DEFEAT A STUDENT IN NIGERIA,2006,1,7,6,0.99,62,29.99,NC-17,11
35,ARACHNOPHOBIA ROLLERCOASTER,A ACTION-PACKED REFLECTION OF A PASTRY CHEF AND A COMPOSER WHO MUST DISCOVER A MAD SCIENTIST IN THE FIRST MANNED SPACE STATION,2006,1,7,4,2.99,147,24.99,PG-13,11
36,ARGONAUTS TOWN,A EMOTIONAL EPISTLE OF A FORENSIC PSYCHOLOGIST AND A BUTLER WHO MUST CHALLENGE A WAITRESS IN AN ABANDONED MINE SHAFT,2006,1,7,7,0.99,127,12.99,PG-13,17
37,ARIZONA BANG,A BRILLIANT PANORAMA OF A MAD SCIENTIST AND A MAD COW WHO MUST MEET A PIONEER IN A MONASTERY,2006,1,7,3,2.99,121,28.99,PG,4
38,ARK RIDGEMONT,A BEAUTIFUL YARN OF A PIONEER AND A MONKEY WHO MUST PURSUE A EXPLORER IN THE SAHARA DESERT,2006,1,7,6,0.99,68,25.99,NC-17,17
39,ARMAGEDDON LOST,A FAST-PACED TALE OF A BOAT AND A TEACHER WHO MUST SUCCUMB A COMPOSER IN AN ABANDONED MINE SHAFT,2006,1,7,5,0.99,99,10.99,G,17
40,ARMY FLINTSTONES,A BORING SAGA OF A DATABASE ADMINISTRATOR AND A WOMANIZER WHO MUST BATTLE A WAITRESS IN NIGERIA,2006,1,7,4,0.99,148,22.99,R,6
41,ARSENIC INDEPENDENCE,A FANCIFUL DOCUMENTARY OF A MAD COW AND A WOMANIZER WHO MUST FIND A DENTIST IN BERLIN,2006,1,7,4,0.99,137,17.99,PG,17
42,ARTIST COLDBLOODED,A STUNNING REFLECTION OF A ROBOT AND A MOOSE WHO MUST CHALLENGE A WOMAN IN CALIFORNIA,2006,1,7,5,2.99,170,10.99,NC-17,15
43,ATLANTIS CAUSE,A THRILLING YARN OF A FEMINIST AND A HUNTER WHO MUST FIGHT A TECHNICAL WRITER IN A SHARK TANK,2006,1,7,6,2.99,170,15.99,G,8
44,ATTACKS HATE,A FAST-PACED PANORAMA OF A TECHNICAL WRITER AND A MAD SCIENTIST WHO MUST FIND A FEMINIST IN AN ABANDONED MINE SHAFT,2006,1,7,5,4.99,113,21.99,PG-13,14
45,ATTRACTION NEWTON,A ASTOUNDING PANORAMA OF A COMPOSER AND A FRISBEE WHO MUST REACH A HUSBAND IN ANCIENT JAPAN,2006,1,7,5,4.99,83,14.99,PG-13,13
46,AUTUMN CROW,A BEAUTIFUL TALE OF A DENTIST AND A MAD COW WHO MUST BATTLE A MOOSE IN THE SAHARA DESERT,2006,1,7,3,4.99,108,13.99,G,17
47,BABY HALL,A BORING CHARACTER STUDY OF A A SHARK AND A GIRL WHO MUST OUTRACE A FEMINIST IN AN ABANDONED MINE SHAFT,2006,1,7,5,4.99,153,23.99,NC-17,9
48,BACKLASH UNDEFEATED,A STUNNING CHARACTER STUDY OF A MAD SCIENTIST AND A MAD COW WHO MUST KILL A CAR IN A MONASTERY,2006,1,7,3,4.99,118,24.99,PG-13,17
49,BADMAN DAWN,A EMOTIONAL PANORAMA OF A PIONEER AND A COMPOSER WHO MUST ESCAPE A MAD SCIENTIST IN A JET BOAT,2006,1,7,6,2.99,162,22.99,R,17
50,BAKED CLEOPATRA,A STUNNING DRAMA OF A FORENSIC PSYCHOLOGIST AND A HUSBAND WHO MUST OVERCOME A WAITRESS IN A MONASTERY,2006,1,7,3,2.99,182,20.99,G,17
51,BALLOON HOMEWARD,A INSIGHTFUL PANORAMA OF A FORENSIC PSYCHOLOGIST AND A MAD COW WHO MUST BUILD A MAD SCIENTIST IN THE FIRST MANNED SPACE STATION,2006,1,7,5,2.99,75,10.99,NC-17,17
52,BALLROOM MOCKINGBIRD,A THRILLING DOCUMENTARY OF A COMPOSER AND A MONKEY WHO MUST FIND A FEMINIST IN CALIFORNIA,2006,1,7,6,0.99,173,29.99,G,9
53,BANG KWAI,A EPIC DRAMA OF A MADMAN AND A CAT WHO MUST FACE A A SHARK IN AN ABANDONED AMUSEMENT PARK,2006,1,7,5,2.99,87,25.99,NC-17,8
54,BANGER PINOCCHIO,A AWE-INSPIRING DRAMA OF A CAR AND A PASTRY CHEF WHO MUST CHASE A CROCODILE IN THE FIRST MANNED SPACE STATION,2006,1,7,5,0.99,113,15.99,R,12
55,BARBARELLA STREETCAR,A AWE-INSPIRING STORY OF A FEMINIST AND A CAT WHO MUST CONQUER A DOG IN A MONASTERY,2006,1,7,6,2.99,65,27.99,G,17
56,BAREFOOT MANCHURIAN,A INTREPID STORY OF A CAT AND A STUDENT WHO MUST VANQUISH A GIRL IN AN ABANDONED AMUSEMENT PARK,2006,1,7,6,2.99,129,15.99,G,1
57,BASIC EASY,A STUNNING EPISTLE OF A MAN AND A HUSBAND WHO MUST REACH A MAD SCIENTIST IN A JET BOAT,2006,1,7,4,2.99,90,18.99,PG-13,17
58,BEACH HEARTBREAKERS,A FATEFUL DISPLAY OF A WOMANIZER AND A MAD SCIENTIST WHO MUST OUTGUN A A SHARK IN SOVIET GEORGIA,2006,1,7,6,2.99,122,16.99,G,6
59,BEAR GRACELAND,A ASTOUNDING SAGA OF A DOG AND A BOY WHO MUST KILL A TEACHER IN THE FIRST MANNED SPACE STATION,2006,1,7,4,2.99,160,20.99,R,17
60,BEAST HUNCHBACK,A AWE-INSPIRING EPISTLE OF A STUDENT AND A SQUIRREL WHO MUST DEFEAT A BOY IN ANCIENT CHINA,2006,1,7,3,4.99,89,22.99,R,4
61,BEAUTY GREASE,A FAST-PACED DISPLAY OF A COMPOSER AND A MOOSE WHO MUST SINK A ROBOT IN AN ABANDONED MINE SHAFT,2006,1,7,5,4.99,175,28.99,G,17
62,BED HIGHBALL,A ASTOUNDING PANORAMA OF A LUMBERJACK AND A DOG WHO MUST REDEEM A WOMAN IN AN ABANDONED FUN HOUSE,2006,1,7,5,2.99,106,23.99,NC-17,6
63,BEDAZZLED MARRIED,A ASTOUNDING CHARACTER STUDY OF A MADMAN AND A ROBOT WHO MUST MEET A MAD SCIENTIST IN AN ABANDONED FUN HOUSE,2006,1,7,6,0.99,73,21.99,PG,8
64,BEETHOVEN EXORCIST,A EPIC DISPLAY OF A PIONEER AND A STUDENT WHO MUST CHALLENGE A BUTLER IN THE GULF OF MEXICO,2006,1,7,6,0.99,151,26.99,PG-13,7
65,BEHAVIOR RUNAWAY,A UNBELIEVEABLE DRAMA OF A STUDENT AND A HUSBAND WHO MUST OUTRACE A SUMO WRESTLER IN BERLIN,2006,1,7,3,4.99,100,20.99,PG,11
66,BENEATH RUSH,A ASTOUNDING PANORAMA OF A MAN AND A MONKEY WHO MUST DISCOVER A MAN IN THE FIRST MANNED SPACE STATION,2006,1,7,6,0.99,53,27.99,NC-17,17
67,BERETS AGENT,A TAUT SAGA OF A CROCODILE AND A BOY WHO MUST OVERCOME A TECHNICAL WRITER IN ANCIENT CHINA,2006,1,7,5,2.99,77,24.99,PG-13,1
68,BETRAYED REAR,A EMOTIONAL CHARACTER STUDY OF A BOAT AND A PIONEER WHO MUST FIND A EXPLORER IN A SHARK TANK,2006,1,7,5,4.99,122,26.99,NC-17,17
69,BEVERLY OUTLAW,A FANCIFUL DOCUMENTARY OF A WOMANIZER AND A BOAT WHO MUST DEFEAT A MADMAN IN THE FIRST MANNED SPACE STATION,2006,1,7,3,2.99,85,21.99,R,14
70,BIKINI BORROWERS,A ASTOUNDING DRAMA OF A ASTRONAUT AND A CAT WHO MUST DISCOVER A WOMAN IN THE FIRST MANNED SPACE STATION,2006,1,7,7,4.99,142,26.99,NC-17,2
71,BILKO ANONYMOUS,A EMOTIONAL REFLECTION OF A TEACHER AND A MAN WHO MUST MEET A CAT IN THE FIRST MANNED SPACE STATION,2006,1,7,3,4.99,100,25.99,PG-13,8
72,BILL OTHERS,A STUNNING SAGA OF A MAD SCIENTIST AND A FORENSIC PSYCHOLOGIST WHO MUST CHALLENGE A SQUIRREL IN A MYSQL CONVENTION,2006,1,7,6,2.99,93,12.99,PG,17
73,BINGO TALENTED,A TOUCHING TALE OF A GIRL AND A CROCODILE WHO MUST DISCOVER A WAITRESS IN NIGERIA,2006,1,7,5,2.99,150,22.99,PG-13,14
74,BIRCH ANTITRUST,A FANCIFUL PANORAMA OF A HUSBAND AND A PIONEER WHO MUST OUTGUN A DOG IN A BALOON,2006,1,7,4,4.99,162,18.99,PG,12
75,BIRD INDEPENDENCE,A THRILLING DOCUMENTARY OF A CAR AND A STUDENT WHO MUST SINK A HUNTER IN THE CANADIAN ROCKIES,2006,1,7,6,4.99,163,14.99,G,17
76,BIRDCAGE CASPER,A FAST-PACED SAGA OF A FRISBEE AND A ASTRONAUT WHO MUST OVERCOME A FEMINIST IN ANCIENT INDIA,2006,1,7,4,0.99,103,23.99,NC-17,17
77,BIRDS PERDITION,A BORING STORY OF A WOMANIZER AND A PIONEER WHO MUST FACE A DOG IN CALIFORNIA,2006,1,7,5,4.99,61,15.99,G,13
78,BLACKOUT PRIVATE,A INTREPID YARN OF A PASTRY CHEF AND A MAD SCIENTIST WHO MUST CHALLENGE A SECRET AGENT IN ANCIENT JAPAN,2006,1,7,7,2.99,85,12.99,PG,2
79,BLADE POLISH,A THOUGHTFUL CHARACTER STUDY OF A FRISBEE AND A PASTRY CHEF WHO MUST FIGHT A DENTIST IN THE FIRST MANNED SPACE STATION,2006,1,7,5,0.99,114,10.99,PG-13,7
80,BLANKET BEVERLY,A EMOTIONAL DOCUMENTARY OF A STUDENT AND A GIRL WHO MUST BUILD A BOAT IN NIGERIA,2006,1,7,7,2.99,148,21.99,G,8
81,BLINDNESS GUN,A TOUCHING DRAMA OF A ROBOT AND A DENTIST WHO MUST MEET A HUNTER IN A JET BOAT,2006,1,7,6,4.99,103,29.99,PG-13,14
82,BLOOD ARGONAUTS,A BORING DRAMA OF A EXPLORER AND A MAN WHO MUST KILL A LUMBERJACK IN A MANHATTAN PENTHOUSE,2006,1,7,3,0.99,71,13.99,G,17
83,BLUES INSTINCT,A INSIGHTFUL DOCUMENTARY OF A BOAT AND A COMPOSER WHO MUST MEET A FORENSIC PSYCHOLOGIST IN AN ABANDONED FUN HOUSE,2006,1,7,5,2.99,50,18.99,G,8
84,BOILED DARES,A AWE-INSPIRING STORY OF A WAITRESS AND A DOG WHO MUST DISCOVER A DENTIST IN ANCIENT JAPAN,2006,1,7,7,4.99,102,13.99,PG,16
85,BONNIE HOLOCAUST,A FAST-PACED STORY OF A CROCODILE AND A ROBOT WHO MUST FIND A MOOSE IN ANCIENT JAPAN,2006,1,7,4,0.99,63,29.99,G,6
86,BOOGIE AMELIE,A LACKLUSTURE CHARACTER STUDY OF A HUSBAND AND A SUMO WRESTLER WHO MUST SUCCUMB A TECHNICAL WRITER IN THE GULF OF MEXICO,2006,1,7,6,4.99,121,11.99,R,12
87,BOONDOCK BALLROOM,A FATEFUL PANORAMA OF A CROCODILE AND A BOY WHO MUST DEFEAT A MONKEY IN THE GULF OF MEXICO,2006,1,7,7,0.99,76,14.99,NC-17,16
88,BORN SPINAL,A TOUCHING EPISTLE OF A FRISBEE AND A HUSBAND WHO MUST PURSUE A STUDENT IN NIGERIA,2006,1,7,7,4.99,179,17.99,PG,16
89,BORROWERS BEDAZZLED,A BRILLIANT EPISTLE OF A TEACHER AND A SUMO WRESTLER WHO MUST DEFEAT A MAN IN AN ABANDONED FUN HOUSE,2006,1,7,7,0.99,63,22.99,G,2
90,BOULEVARD MOB,A FATEFUL EPISTLE OF A MOOSE AND A MONKEY WHO MUST CONFRONT A LUMBERJACK IN ANCIENT CHINA,2006,1,7,3,0.99,63,11.99,R,13
91,BOUND CHEAPER,A THRILLING PANORAMA OF A DATABASE ADMINISTRATOR AND A ASTRONAUT WHO MUST CHALLENGE A LUMBERJACK IN A BALOON,2006,1,7,5,0.99,98,17.99,PG,4
92,BOWFINGER GABLES,A FAST-PACED YARN OF A WAITRESS AND A COMPOSER WHO MUST OUTGUN A DENTIST IN CALIFORNIA,2006,1,7,7,4.99,72,19.99,NC-17,11
93,BRANNIGAN SUNRISE,A AMAZING EPISTLE OF A MOOSE AND A CROCODILE WHO MUST OUTRACE A DOG IN BERLIN,2006,1,7,4,4.99,121,27.99,PG,13
94,BRAVEHEART HUMAN,A INSIGHTFUL STORY OF A DOG AND A PASTRY CHEF WHO MUST BATTLE A GIRL IN BERLIN,2006,1,7,7,2.99,176,14.99,PG-13,17
95,BREAKFAST GOLDFINGER,A BEAUTIFUL REFLECTION OF A STUDENT AND A STUDENT WHO MUST FIGHT A MOOSE IN BERLIN,2006,1,7,5,4.99,123,18.99,G,17
96,BREAKING HOME,A BEAUTIFUL DISPLAY OF A SECRET AGENT AND A MONKEY WHO MUST BATTLE A SUMO WRESTLER IN AN ABANDONED MINE SHAFT,2006,1,7,4,2.99,169,21.99,PG-13,13
97,BRIDE INTRIGUE,A EPIC TALE OF A ROBOT AND A MONKEY WHO MUST VANQUISH A MAN IN NEW ORLEANS,2006,1,7,7,0.99,56,24.99,G,17
98,BRIGHT ENCOUNTERS,A FATEFUL YARN OF A LUMBERJACK AND A FEMINIST WHO MUST CONQUER A STUDENT IN A JET BOAT,2006,1,7,4,4.99,73,12.99,PG-13,17
99,BRINGING HYSTERICAL,A FATEFUL SAGA OF A A SHARK AND A TECHNICAL WRITER WHO MUST FIND A WOMAN IN A JET BOAT,2006,1,7,7,2.99,136,14.99,PG,17
100,BROOKLYN DESERT,A BEAUTIFUL DRAMA OF A DENTIST AND A COMPOSER WHO MUST BATTLE A SUMO WRESTLER IN THE FIRST MANNED SPACE STATION,2006,1,7,7,4.99,161,21.99,R,17
101,BROTHERHOOD BLANKET,A FATEFUL CHARACTER STUDY OF A BUTLER AND A TECHNICAL WRITER WHO MUST SINK A ASTRONAUT IN ANCIENT JAPAN,2006,1,7,3,0.99,73,26.99,R,6
102,BUBBLE GROSSE,A AWE-INSPIRING PANORAMA OF A CROCODILE AND A MOOSE WHO MUST CONFRONT A GIRL IN A BALOON,2006,1,7,4,4.99,60,20.99,R,17
103,BUCKET BROTHERHOOD,A AMAZING DISPLAY OF A GIRL AND A WOMANIZER WHO MUST SUCCUMB A LUMBERJACK IN A BALOON FACTORY,2006,1,7,7,4.99,133,27.99,PG,16
104,BUGSY SONG,A AWE-INSPIRING CHARACTER STUDY OF A SECRET AGENT AND A BOAT WHO MUST FIND A SQUIRREL IN THE FIRST MANNED SPACE STATION,2006,1,7,4,2.99,119,17.99,G,17
105,BULL SHAWSHANK,A FANCIFUL DRAMA OF A MOOSE AND A SQUIRREL WHO MUST CONQUER A PIONEER IN THE CANADIAN ROCKIES,2006,1,7,6,0.99,125,21.99,NC-17,1
106,BULWORTH COMMANDMENTS,A AMAZING DISPLAY OF A MAD COW AND A PIONEER WHO MUST REDEEM A SUMO WRESTLER IN THE OUTBACK,2006,1,7,4,2.99,61,14.99,G,10
107,BUNCH MINDS,A EMOTIONAL STORY OF A FEMINIST AND A FEMINIST WHO MUST ESCAPE A PASTRY CHEF IN A MYSQL CONVENTION,2006,1,7,4,2.99,63,13.99,G,7
108,BUTCH PANTHER,A LACKLUSTURE YARN OF A FEMINIST AND A DATABASE ADMINISTRATOR WHO MUST FACE A HUNTER IN NEW ORLEANS,2006,1,7,6,0.99,67,19.99,PG-13,13
109,BUTTERFLY CHOCOLAT,A FATEFUL STORY OF A GIRL AND A COMPOSER WHO MUST CONQUER A HUSBAND IN A SHARK TANK,2006,1,7,3,0.99,89,17.99,G,17
110,CABIN FLASH,A STUNNING EPISTLE OF A BOAT AND A MAN WHO MUST CHALLENGE A A SHARK IN A BALOON FACTORY,2006,1,7,4,0.99,53,25.99,NC-17,3
111,CADDYSHACK JEDI,A AWE-INSPIRING EPISTLE OF A WOMAN AND A MADMAN WHO MUST FIGHT A ROBOT IN SOVIET GEORGIA,2006,1,7,3,0.99,52,17.99,NC-17,1
112,CALENDAR GUNFIGHT,A THRILLING DRAMA OF A FRISBEE AND A LUMBERJACK WHO MUST SINK A MAN IN NIGERIA,2006,1,7,4,4.99,120,22.99,NC-17,9
113,CALIFORNIA BIRDS,A THRILLING YARN OF A DATABASE ADMINISTRATOR AND A ROBOT WHO MUST BATTLE A DATABASE ADMINISTRATOR IN ANCIENT INDIA,2006,1,7,4,4.99,75,19.99,NC-17,17
114,CAMELOT VACATION,A TOUCHING CHARACTER STUDY OF A WOMAN AND A WAITRESS WHO MUST BATTLE A PASTRY CHEF IN A MYSQL CONVENTION,2006,1,7,3,0.99,61,26.99,NC-17,17
115,CAMPUS REMEMBER,A ASTOUNDING DRAMA OF A CROCODILE AND A MAD COW WHO MUST BUILD A ROBOT IN A JET BOAT,2006,1,7,5,2.99,167,27.99,R,1
116,CANDIDATE PERDITION,A BRILLIANT EPISTLE OF A COMPOSER AND A DATABASE ADMINISTRATOR WHO MUST VANQUISH A MAD SCIENTIST IN THE FIRST MANNED SPACE STATION,2006,1,7,4,2.99,70,10.99,R,4
117,CANDLES GRAPES,A FANCIFUL CHARACTER STUDY OF A MONKEY AND A EXPLORER WHO MUST BUILD A ASTRONAUT IN AN ABANDONED FUN HOUSE,2006,1,7,6,4.99,135,15.99,NC-17,10
118,CANYON STOCK,A THOUGHTFUL REFLECTION OF A WAITRESS AND A FEMINIST WHO MUST ESCAPE A SQUIRREL IN A MANHATTAN PENTHOUSE,2006,1,7,7,0.99,85,26.99,R,2
119,CAPER MOTIONS,A FATEFUL SAGA OF A MOOSE AND A CAR WHO MUST PURSUE A WOMAN IN A MYSQL CONVENTION,2006,1,7,6,0.99,176,22.99,G,5
120,CARIBBEAN LIBERTY,A FANCIFUL TALE OF A PIONEER AND A TECHNICAL WRITER WHO MUST OUTGUN A PIONEER IN A SHARK TANK,2006,1,7,3,4.99,92,16.99,NC-17,17
121,CAROL TEXAS,A ASTOUNDING CHARACTER STUDY OF A COMPOSER AND A STUDENT WHO MUST OVERCOME A COMPOSER IN A MONASTERY,2006,1,7,4,2.99,151,15.99,PG,2
122,CARRIE BUNCH,A AMAZING EPISTLE OF A STUDENT AND A ASTRONAUT WHO MUST DISCOVER A FRISBEE IN THE CANADIAN ROCKIES,2006,1,7,7,0.99,114,11.99,PG,11
123,CASABLANCA SUPER,A AMAZING PANORAMA OF A CROCODILE AND A FORENSIC PSYCHOLOGIST WHO MUST PURSUE A SECRET AGENT IN THE FIRST MANNED SPACE STATION,2006,1,7,6,4.99,85,22.99,G,17
124,CASPER DRAGONFLY,A INTREPID DOCUMENTARY OF A BOAT AND A CROCODILE WHO MUST CHASE A ROBOT IN THE SAHARA DESERT,2006,1,7,3,4.99,163,16.99,PG-13,3
125,CASSIDY WYOMING,A INTREPID DRAMA OF A FRISBEE AND A HUNTER WHO MUST KILL A SECRET AGENT IN NEW ORLEANS,2006,1,7,5,2.99,61,19.99,NC-17,16
126,CASUALTIES ENCINO,A INSIGHTFUL YARN OF A A SHARK AND A PASTRY CHEF WHO MUST FACE A BOY IN A MONASTERY,2006,1,7,3,4.99,179,16.99,G,1
127,CAT CONEHEADS,A FAST-PACED PANORAMA OF A GIRL AND A A SHARK WHO MUST CONFRONT A BOY IN ANCIENT INDIA,2006,1,7,5,4.99,112,14.99,G,5
128,CATCH AMISTAD,A BORING REFLECTION OF A LUMBERJACK AND A FEMINIST WHO MUST DISCOVER A WOMAN IN NIGERIA,2006,1,7,7,0.99,183,10.99,G,17
129,CAUSE DATE,A TAUT TALE OF A EXPLORER AND A PASTRY CHEF WHO MUST CONQUER A HUNTER IN A MYSQL CONVENTION,2006,1,7,3,2.99,179,16.99,R,17
130,CELEBRITY HORN,A AMAZING DOCUMENTARY OF A SECRET AGENT AND A ASTRONAUT WHO MUST VANQUISH A HUNTER IN A SHARK TANK,2006,1,7,7,0.99,110,24.99,PG-13,17
131,CENTER DINOSAUR,A BEAUTIFUL CHARACTER STUDY OF A SUMO WRESTLER AND A DENTIST WHO MUST FIND A DOG IN CALIFORNIA,2006,1,7,5,4.99,152,12.99,PG,4
132,CHAINSAW UPTOWN,A BEAUTIFUL DOCUMENTARY OF A BOY AND A ROBOT WHO MUST DISCOVER A SQUIRREL IN AUSTRALIA,2006,1,7,6,0.99,114,25.99,PG,14
133,CHAMBER ITALIAN,A FATEFUL REFLECTION OF A MOOSE AND A HUSBAND WHO MUST OVERCOME A MONKEY IN NIGERIA,2006,1,7,7,4.99,117,14.99,NC-17,12
134,CHAMPION FLATLINERS,A AMAZING STORY OF A MAD COW AND A DOG WHO MUST KILL A HUSBAND IN A MONASTERY,2006,1,7,4,4.99,51,21.99,PG,17
