film_id,title,description,release_year,language_id,original_language_id,rental_duration,rental_rate,length,replacement_cost,rating,category_id,price
13,ALI FOREVER,A ACTION-PACKED DRAMA OF A DENTIST AND A CROCODILE WHO MUST BATTLE A FEMINIST IN THE CANADIAN ROCKIES,2006,1,7,4,4.5,150,9.99,PG,17,6
14,ALICE FANTASIA,A EMOTIONAL DRAMA OF A A SHARK AND A DATABASE ADMINISTRATOR WHO MUST VANQUISH A PIONEER IN SOVIET GEORGIA,2006,1,7,6,2.5,94,5.99,NC-17,4,11
15,ALIEN CENTER,A BRILLIANT DRAMA OF A CAT AND A MAD SCIENTIST WHO MUST BATTLE A FEMINIST IN A MYSQL CONVENTION,2006,1,7,5,4.99,46,14.99,NC-17,9,6
16,ALLEY EVOLUTION,A FAST-PACED DRAMA OF A ROBOT AND A COMPOSER WHO MUST BATTLE A ASTRONAUT IN NEW ORLEANS,2006,1,7,6,4.5,180,22.99,NC-17,9,4
17,ALONE TRIP,A FAST-PACED CHARACTER STUDY OF A COMPOSER AND A DOG WHO MUST OUTGUN A BOAT IN AN ABANDONED FUN HOUSE,2006,1,7,3,1.5,82,16.99,R,12,5
18,ALTER VICTORY,A THOUGHTFUL DRAMA OF A COMPOSER AND A FEMINIST WHO MUST MEET A SECRET AGENT IN THE CANADIAN ROCKIES,2006,1,7,6,2.99,57,28.99,PG-13,17,7
19,AMADEUS HOLY,A EMOTIONAL DISPLAY OF A PIONEER AND A TECHNICAL WRITER WHO MUST BATTLE A MAN IN A BALOON,2006,1,7,6,1.5,113,10.99,PG,1,5
20,AMELIE HELLFIGHTERS,A BORING DRAMA OF A WOMAN AND A SQUIRREL WHO MUST CONQUER A STUDENT IN A BALOON,2006,1,7,4,1.5,79,5.99,R,17,7
21,AMERICAN CIRCUS,A INSIGHTFUL DRAMA OF A GIRL AND A ASTRONAUT WHO MUST FACE A DATABASE ADMINISTRATOR IN A SHARK TANK,2006,1,7,3,4.5,129,27.99,R,1,7
22,AMISTAD MIDSUMMER,A EMOTIONAL CHARACTER STUDY OF A DENTIST AND A CROCODILE WHO MUST MEET A SUMO WRESTLER IN CALIFORNIA,2006,1,7,6,1.5,85,11.99,G,17,12
23,ANACONDA CONFESSIONS,A LACKLUSTURE DISPLAY OF A DENTIST AND A DENTIST WHO MUST FIGHT A GIRL IN AUSTRALIA,2006,1,7,3,0.99,92,6.99,R,2,6
24,ANALYZE HOOSIERS,A THOUGHTFUL DISPLAY OF A EXPLORER AND A PASTRY CHEF WHO MUST OVERCOME A FEMINIST IN THE SAHARA DESERT,2006,1,7,6,2.99,181,27.99,R,11,9
25,ANGELS LIFE,A THOUGHTFUL DISPLAY OF A WOMAN AND A ASTRONAUT WHO MUST BATTLE A ROBOT IN BERLIN,2006,1,7,3,3.5,74,13.99,G,13,3
26,ANNIE IDENTITY,A AMAZING PANORAMA OF A PASTRY CHEF AND A BOAT WHO MUST ESCAPE A WOMAN IN AN ABANDONED AMUSEMENT PARK,2006,1,7,3,1.99,86,11.99,G,17,5
27,ANONYMOUS HUMAN,A AMAZING REFLECTION OF A DATABASE ADMINISTRATOR AND A ASTRONAUT WHO MUST OUTRACE A DATABASE ADMINISTRATOR IN A SHARK TANK,2006,1,7,7,0.99,179,17.99,NC-17,15,3
28,ANTHEM LUKE,A TOUCHING PANORAMA OF A WAITRESS AND A WOMAN WHO MUST OUTRACE A DOG IN AN ABANDONED AMUSEMENT PARK,2006,1,7,5,3.5,91,21.99,PG-13,17,12
29,ANTITRUST TOMATOES,A FATEFUL YARN OF A WOMANIZER AND A FEMINIST WHO MUST SUCCUMB A DATABASE ADMINISTRATOR IN ANCIENT INDIA,2006,1,7,5,2.99,168,19.99,NC-17,1,9
30,ANYTHING SAVANNAH,A EPIC STORY OF A PASTRY CHEF AND A WOMAN WHO MUST CHASE A FEMINIST IN AN ABANDONED FUN HOUSE,2006,1,7,4,2.99,82,7.99,R,11,3
31,APACHE DIVINE,A AWE-INSPIRING REFLECTION OF A PASTRY CHEF AND A TEACHER WHO MUST OVERCOME A SUMO WRESTLER IN A U-BOAT,2006,1,7,5,2.99,92,23.99,NC-17,8,9
32,APOCALYPSE FLAMINGOS,A ASTOUNDING STORY OF A DOG AND A SQUIRREL WHO MUST DEFEAT A WOMAN IN AN ABANDONED AMUSEMENT PARK,2006,1,7,6,3.5,119,26.99,R,17,12
33,APOLLO TEEN,A ACTION-PACKED REFLECTION OF A CROCODILE AND A EXPLORER WHO MUST FIND A SUMO WRESTLER IN AN ABANDONED MINE SHAFT,2006,1,7,5,3.5,153,6.99,PG-13,17,9
34,ARABIA DOGMA,A TOUCHING EPISTLE OF A MADMAN AND A MAD COW WHO MUST DEFEAT A STUDENT IN NIGERIA,2006,1,7,6,3.5,62,4.99,NC-17,11,8
35,ARACHNOPHOBIA ROLLERCOASTER,A ACTION-PACKED REFLECTION OF A PASTRY CHEF AND A COMPOSER WHO MUST DISCOVER A MAD SCIENTIST IN THE FIRST MANNED SPACE STATION,2006,1,7,4,1.99,147,11.99,PG-13,11,4
36,ARGONAUTS TOWN,A EMOTIONAL EPISTLE OF A FORENSIC PSYCHOLOGIST AND A BUTLER WHO MUST CHALLENGE A WAITRESS IN AN ABANDONED MINE SHAFT,2006,1,7,7,1.5,127,16.99,PG-13,17,5
37,ARIZONA BANG,A BRILLIANT PANORAMA OF A MAD SCIENTIST AND A MAD COW WHO MUST MEET A PIONEER IN A MONASTERY,2006,1,7,3,2.99,121,4.99,PG,4,8
38,ARK RIDGEMONT,A BEAUTIFUL YARN OF A PIONEER AND A MONKEY WHO MUST PURSUE A EXPLORER IN THE SAHARA DESERT,2006,1,7,6,1.5,68,18.99,NC-17,17,3
39,ARMAGEDDON LOST,A FAST-PACED TALE OF A BOAT AND A TEACHER WHO MUST SUCCUMB A COMPOSER IN AN ABANDONED MINE SHAFT,2006,1,7,5,3.99,99,6.99,G,17,10
40,ARMY FLINTSTONES,A BORING SAGA OF A DATABASE ADMINISTRATOR AND A WOMANIZER WHO MUST BATTLE A WAITRESS IN NIGERIA,2006,1,7,4,1.99,148,20.99,R,6,11
41,ARSENIC INDEPENDENCE,A FANCIFUL DOCUMENTARY OF A MAD COW AND A WOMANIZER WHO MUST FIND A DENTIST IN BERLIN,2006,1,7,4,2.5,137,24.99,PG,17,3
42,ARTIST COLDBLOODED,A STUNNING REFLECTION OF A ROBOT AND A MOOSE WHO MUST CHALLENGE A WOMAN IN CALIFORNIA,2006,1,7,5,2.99,170,23.99,NC-17,15,7
43,ATLANTIS CAUSE,A THRILLING YARN OF A FEMINIST AND A HUNTER WHO MUST FIGHT A TECHNICAL WRITER IN A SHARK TANK,2006,1,7,6,3.5,170,17.99,G,8,10
44,ATTACKS HATE,A FAST-PACED PANORAMA OF A TECHNICAL WRITER AND A MAD SCIENTIST WHO MUST FIND A FEMINIST IN AN ABANDONED MINE SHAFT,2006,1,7,5,3.5,113,24.99,PG-13,14,8
45,ATTRACTION NEWTON,A ASTOUNDING PANORAMA OF A COMPOSER AND A FRISBEE WHO MUST REACH A HUSBAND IN ANCIENT JAPAN,2006,1,7,5,0.99,83,10.99,PG-13,13,9
46,AUTUMN CROW,A BEAUTIFUL TALE OF A DENTIST AND A MAD COW WHO MUST BATTLE A MOOSE IN THE SAHARA DESERT,2006,1,7,3,2.5,108,13.99,G,17,3
47,BABY HALL,A BORING CHARACTER STUDY OF A A SHARK AND A GIRL WHO MUST OUTRACE A FEMINIST IN AN ABANDONED MINE SHAFT,2006,1,7,5,2.99,153,20.99,NC-17,9,4
48,BACKLASH UNDEFEATED,A STUNNING CHARACTER STUDY OF A MAD SCIENTIST AND A MAD COW WHO MUST KILL A CAR IN A MONASTERY,2006,1,7,3,4.99,118,16.99,PG-13,17,11
49,BADMAN DAWN,A EMOTIONAL PANORAMA OF A PIONEER AND A COMPOSER WHO MUST ESCAPE A MAD SCIENTIST IN A JET BOAT,2006,1,7,6,2.99,162,12.99,R,17,3
50,BAKED CLEOPATRA,A STUNNING DRAMA OF A FORENSIC PSYCHOLOGIST AND A HUSBAND WHO MUST OVERCOME A WAITRESS IN A MONASTERY,2006,1,7,3,2.5,182,19.99,G,17,4
51,BALLOON HOMEWARD,A INSIGHTFUL PANORAMA OF A FORENSIC PSYCHOLOGIST AND A MAD COW WHO MUST BUILD A MAD SCIENTIST IN THE FIRST MANNED SPACE STATION,2006,1,7,5,3.99,75,28.99,NC-17,17,10
52,BALLROOM MOCKINGBIRD,A THRILLING DOCUMENTARY OF A COMPOSER AND A MONKEY WHO MUST FIND A FEMINIST IN CALIFORNIA,2006,1,7,6,0.99,173,9.99,G,9,8
53,BANG KWAI,A EPIC DRAMA OF A MADMAN AND A CAT WHO MUST FACE A A SHARK IN AN ABANDONED AMUSEMENT PARK,2006,1,7,5,3.5,87,6.99,NC-17,8,10
54,BANGER PINOCCHIO,A AWE-INSPIRING DRAMA OF A CAR AND A PASTRY CHEF WHO MUST CHASE A CROCODILE IN THE FIRST MANNED SPACE STATION,2006,1,7,5,2.5,113,23.99,R,12,12
55,BARBARELLA STREETCAR,A AWE-INSPIRING STORY OF A FEMINIST AND A CAT WHO MUST CONQUER A DOG IN A MONASTERY,2006,1,7,6,4.5,65,23.99,G,17,10
56,BAREFOOT MANCHURIAN,A INTREPID STORY OF A CAT AND A STUDENT WHO MUST VANQUISH A GIRL IN AN ABANDONED AMUSEMENT PARK,2006,1,7,6,2.99,129,14.99,G,1,3
57,BASIC EASY,A STUNNING EPISTLE OF A MAN AND A HUSBAND WHO MUST REACH A MAD SCIENTIST IN A JET BOAT,2006,1,7,4,4.5,90,22.99,PG-13,17,10
58,BEACH HEARTBREAKERS,A FATEFUL DISPLAY OF A WOMANIZER AND A MAD SCIENTIST WHO MUST OUTGUN A A SHARK IN SOVIET GEORGIA,2006,1,7,6,2.5,122,28.99,G,6,6
59,BEAR GRACELAND,A ASTOUNDING SAGA OF A DOG AND A BOY WHO MUST KILL A TEACHER IN THE FIRST MANNED SPACE STATION,2006,1,7,4,1.99,160,16.99,R,17,6
60,BEAST HUNCHBACK,A AWE-INSPIRING EPISTLE OF A STUDENT AND A SQUIRREL WHO MUST DEFEAT A BOY IN ANCIENT CHINA,2006,1,7,3,4.99,89,26.99,R,4,6
61,BEAUTY GREASE,A FAST-PACED DISPLAY OF A COMPOSER AND A MOOSE WHO MUST SINK A ROBOT IN AN ABANDONED MINE SHAFT,2006,1,7,5,1.99,175,26.99,G,17,3
62,BED HIGHBALL,A ASTOUNDING PANORAMA OF A LUMBERJACK AND A DOG WHO MUST REDEEM A WOMAN IN AN ABANDONED FUN HOUSE,2006,1,7,5,3.99,106,17.99,NC-17,6,4
63,BEDAZZLED MARRIED,A ASTOUNDING CHARACTER STUDY OF A MADMAN AND A ROBOT WHO MUST MEET A MAD SCIENTIST IN AN ABANDONED FUN HOUSE,2006,1,7,6,4.99,73,15.99,PG,8,8
64,BEETHOVEN EXORCIST,A EPIC DISPLAY OF A PIONEER AND A STUDENT WHO MUST CHALLENGE A BUTLER IN THE GULF OF MEXICO,2006,1,7,6,0.99,151,8.99,PG-13,7,12
65,BEHAVIOR RUNAWAY,A UNBELIEVEABLE DRAMA OF A STUDENT AND A HUSBAND WHO MUST OUTRACE A SUMO WRESTLER IN BERLIN,2006,1,7,3,4.5,100,21.99,PG,11,9
66,BENEATH RUSH,A ASTOUNDING PANORAMA OF A MAN AND A MONKEY WHO MUST DISCOVER A MAN IN THE FIRST MANNED SPACE STATION,2006,1,7,6,4.5,53,13.99,NC-17,17,4
67,BERETS AGENT,A TAUT SAGA OF A CROCODILE AND A BOY WHO MUST OVERCOME A TECHNICAL WRITER IN ANCIENT CHINA,2006,1,7,5,4.5,77,24.99,PG-13,1,7
68,BETRAYED REAR,A EMOTIONAL CHARACTER STUDY OF A BOAT AND A PIONEER WHO MUST FIND A EXPLORER IN A SHARK TANK,2006,1,7,5,2.5,122,27.99,NC-17,17,12
69,BEVERLY OUTLAW,A FANCIFUL DOCUMENTARY OF A WOMANIZER AND A BOAT WHO MUST DEFEAT A MADMAN IN THE FIRST MANNED SPACE STATION,2006,1,7,3,4.5,85,16.99,R,14,8
70,BIKINI BORROWERS,A ASTOUNDING DRAMA OF A ASTRONAUT AND A CAT WHO MUST DISCOVER A WOMAN IN THE FIRST MANNED SPACE STATION,2006,1,7,7,1.5,142,21.99,NC-17,2,6
71,BILKO ANONYMOUS,A EMOTIONAL REFLECTION OF A TEACHER AND A MAN WHO MUST MEET A CAT IN THE FIRST MANNED SPACE STATION,2006,1,7,3,2.5,100,21.99,PG-13,8,12
72,BILL OTHERS,A STUNNING SAGA OF A MAD SCIENTIST AND A FORENSIC PSYCHOLOGIST WHO MUST CHALLENGE A SQUIRREL IN A MYSQL CONVENTION,2006,1,7,6,4.99,93,23.99,PG,17,9
73,BINGO TALENTED,A TOUCHING TALE OF A GIRL AND A CROCODILE WHO MUST DISCOVER A WAITRESS IN NIGERIA,2006,1,7,5,1.5,150,19.99,PG-13,14,9
74,BIRCH ANTITRUST,A FANCIFUL PANORAMA OF A HUSBAND AND A PIONEER WHO MUST OUTGUN A DOG IN A BALOON,2006,1,7,4,1.99,162,17.99,PG,12,9
75,BIRD INDEPENDENCE,A THRILLING DOCUMENTARY OF A CAR AND A STUDENT WHO MUST SINK A HUNTER IN THE CANADIAN ROCKIES,2006,1,7,6,4.99,163,29.99,G,17,7
76,BIRDCAGE CASPER,A FAST-PACED SAGA OF A FRISBEE AND A ASTRONAUT WHO MUST OVERCOME A FEMINIST IN ANCIENT INDIA,2006,1,7,4,2.5,103,15.99,NC-17,17,3
77,BIRDS PERDITION,A BORING STORY OF A WOMANIZER AND A PIONEER WHO MUST FACE A DOG IN CALIFORNIA,2006,1,7,5,2.5,61,13.99,G,13,7
78,BLACKOUT PRIVATE,A INTREPID YARN OF A PASTRY CHEF AND A MAD SCIENTIST WHO MUST CHALLENGE A SECRET AGENT IN ANCIENT JAPAN,2006,1,7,7,1.5,85,29.99,PG,2,11
79,BLADE POLISH,A THOUGHTFUL CHARACTER STUDY OF A FRISBEE AND A PASTRY CHEF WHO MUST FIGHT A DENTIST IN THE FIRST MANNED SPACE STATION,2006,1,7,5,2.5,114,17.99,PG-13,7,9
80,BLANKET BEVERLY,A EMOTIONAL DOCUMENTARY OF A STUDENT AND A GIRL WHO MUST BUILD A BOAT IN NIGERIA,2006,1,7,7,3.99,148,28.99,G,8,8
81,BLINDNESS GUN,A TOUCHING DRAMA OF A ROBOT AND A DENTIST WHO MUST MEET A HUNTER IN A JET BOAT,2006,1,7,6,3.5,103,25.99,PG-13,14,12
82,BLOOD ARGONAUTS,A BORING DRAMA OF A EXPLORER AND A MAN WHO MUST KILL A LUMBERJACK IN A MANHATTAN PENTHOUSE,2006,1,7,3,3.5,71,10.99,G,17,9
83,BLUES INSTINCT,A INSIGHTFUL DOCUMENTARY OF A BOAT AND A COMPOSER WHO MUST MEET A FORENSIC PSYCHOLOGIST IN AN ABANDONED FUN HOUSE,2006,1,7,5,3.5,50,24.99,G,8,12
84,BOILED DARES,A AWE-INSPIRING STORY OF A WAITRESS AND A DOG WHO MUST DISCOVER A DENTIST IN ANCIENT JAPAN,2006,1,7,7,4.99,102,5.99,PG,16,9
85,BONNIE HOLOCAUST,A FAST-PACED STORY OF A CROCODILE AND A ROBOT WHO MUST FIND A MOOSE IN ANCIENT JAPAN,2006,1,7,4,0.99,63,13.99,G,6,12
86,BOOGIE AMELIE,A LACKLUSTURE CHARACTER STUDY OF A HUSBAND AND A SUMO WRESTLER WHO MUST SUCCUMB A TECHNICAL WRITER IN THE GULF OF MEXICO,2006,1,7,6,3.5,121,22.99,R,12,9
87,BOONDOCK BALLROOM,A FATEFUL PANORAMA OF A CROCODILE AND A BOY WHO MUST DEFEAT A MONKEY IN THE GULF OF MEXICO,2006,1,7,7,0.99,76,7.99,NC-17,16,10
88,BORN SPINAL,A TOUCHING EPISTLE OF A FRISBEE AND A HUSBAND WHO MUST PURSUE A STUDENT IN NIGERIA,2006,1,7,7,0.99,179,7.99,PG,16,7
89,BORROWERS BEDAZZLED,A BRILLIANT EPISTLE OF A TEACHER AND A SUMO WRESTLER WHO MUST DEFEAT A MAN IN AN ABANDONED FUN HOUSE,2006,1,7,7,2.5,63,14.99,G,2,7
90,BOULEVARD MOB,A FATEFUL EPISTLE OF A MOOSE AND A MONKEY WHO MUST CONFRONT A LUMBERJACK IN ANCIENT CHINA,2006,1,7,3,1.99,63,6.99,R,13,7
91,BOUND CHEAPER,A THRILLING PANORAMA OF A DATABASE ADMINISTRATOR AND A ASTRONAUT WHO MUST CHALLENGE A LUMBERJACK IN A BALOON,2006,1,7,5,3.5,98,17.99,PG,4,11
92,BOWFINGER GABLES,A FAST-PACED YARN OF A WAITRESS AND A COMPOSER WHO MUST OUTGUN A DENTIST IN CALIFORNIA,2006,1,7,7,1.5,72,11.99,NC-17,11,7
93,BRANNIGAN SUNRISE,A AMAZING EPISTLE OF A MOOSE AND A CROCODILE WHO MUST OUTRACE A DOG IN BERLIN,2006,1,7,4,0.99,121,6.99,PG,13,3
94,BRAVEHEART HUMAN,A INSIGHTFUL STORY OF A DOG AND A PASTRY CHEF WHO MUST BATTLE A GIRL IN BERLIN,2006,1,7,7,4.99,176,11.99,PG-13,17,7
95,BREAKFAST GOLDFINGER,A BEAUTIFUL REFLECTION OF A STUDENT AND A STUDENT WHO MUST FIGHT A MOOSE IN BERLIN,2006,1,7,5,2.99,123,18.99,G,17,7
96,BREAKING HOME,A BEAUTIFUL DISPLAY OF A SECRET AGENT AND A MONKEY WHO MUST BATTLE A SUMO WRESTLER IN AN ABANDONED MINE SHAFT,2006,1,7,4,0.99,169,19.99,PG-13,13,7
97,BRIDE INTRIGUE,A EPIC TALE OF A ROBOT AND A MONKEY WHO MUST VANQUISH A MAN IN NEW ORLEANS,2006,1,7,7,2.5,56,26.99,G,17,3
98,BRIGHT ENCOUNTERS,A FATEFUL YARN OF A LUMBERJACK AND A FEMINIST WHO MUST CONQUER A STUDENT IN A JET BOAT,2006,1,7,4,1.5,73,24.99,PG-13,17,6
99,BRINGING HYSTERICAL,A FATEFUL SAGA OF A A SHARK AND A TECHNICAL WRITER WHO MUST FIND A WOMAN IN A JET BOAT,2006,1,7,7,2.5,136,17.99,PG,17,5
100,BROOKLYN DESERT,A BEAUTIFUL DRAMA OF A DENTIST AND A COMPOSER WHO MUST BATTLE A SUMO WRESTLER IN THE FIRST MANNED SPACE STATION,2006,1,7,7,4.99,161,18.99,R,17,8
101,BROTHERHOOD BLANKET,A FATEFUL CHARACTER STUDY OF A BUTLER AND A TECHNICAL WRITER WHO MUST SINK A ASTRONAUT IN ANCIENT JAPAN,2006,1,7,3,2.99,73,20.99,R,6,5
102,BUBBLE GROSSE,A AWE-INSPIRING PANORAMA OF A CROCODILE AND A MOOSE WHO MUST CONFRONT A GIRL IN A BALOON,2006,1,7,4,3.99,60,24.99,R,17,6
103,BUCKET BROTHERHOOD,A AMAZING DISPLAY OF A GIRL AND A WOMANIZER WHO MUST SUCCUMB A LUMBERJACK IN A BALOON FACTORY,2006,1,7,7,1.99,133,26.99,PG,16,11
104,BUGSY SONG,A AWE-INSPIRING CHARACTER STUDY OF A SECRET AGENT AND A BOAT WHO MUST FIND A SQUIRREL IN THE FIRST MANNED SPACE STATION,2006,1,7,4,3.5,119,27.99,G,17,3
105,BULL SHAWSHANK,A FANCIFUL DRAMA OF A MOOSE AND A SQUIRREL WHO MUST CONQUER A PIONEER IN THE CANADIAN ROCKIES,2006,1,7,6,3.99,125,11.99,NC-17,1,7
106,BULWORTH COMMANDMENTS,A AMAZING DISPLAY OF A MAD COW AND A PIONEER WHO MUST REDEEM A SUMO WRESTLER IN THE OUTBACK,2006,1,7,4,3.5,61,13.99,G,10,5
107,BUNCH MINDS,A EMOTIONAL STORY OF A FEMINIST AND A FEMINIST WHO MUST ESCAPE A PASTRY CHEF IN A MYSQL CONVENTION,2006,1,7,4,4.99,63,7.99,G,7,6
108,BUTCH PANTHER,A LACKLUSTURE YARN OF A FEMINIST AND A DATABASE ADMINISTRATOR WHO MUST FACE A HUNTER IN NEW ORLEANS,2006,1,7,6,4.99,67,23.99,PG-13,13,3
109,BUTTERFLY CHOCOLAT,A FATEFUL STORY OF A GIRL AND A COMPOSER WHO MUST CONQUER A HUSBAND IN A SHARK TANK,2006,1,7,3,4.99,89,28.99,G,17,8
110,CABIN FLASH,A STUNNING EPISTLE OF A BOAT AND A MAN WHO MUST CHALLENGE A A SHARK IN A BALOON FACTORY,2006,1,7,4,1.5,53,24.99,NC-17,3,4
111,CADDYSHACK JEDI,A AWE-INSPIRING EPISTLE OF A WOMAN AND A MADMAN WHO MUST FIGHT A ROBOT IN SOVIET GEORGIA,2006,1,7,3,1.99,52,28.99,NC-17,1,12
112,CALENDAR GUNFIGHT,A THRILLING DRAMA OF A FRISBEE AND A LUMBERJACK WHO MUST SINK A MAN IN NIGERIA,2006,1,7,4,4.5,120,11.99,NC-17,9,8
113,CALIFORNIA BIRDS,A THRILLING YARN OF A DATABASE ADMINISTRATOR AND A ROBOT WHO MUST BATTLE A DATABASE ADMINISTRATOR IN ANCIENT INDIA,2006,1,7,4,4.99,75,18.99,NC-17,17,6
114,CAMELOT VACATION,A TOUCHING CHARACTER STUDY OF A WOMAN AND A WAITRESS WHO MUST BATTLE A PASTRY CHEF IN A MYSQL CONVENTION,2006,1,7,3,0.99,61,13.99,NC-17,17,3
115,CAMPUS REMEMBER,A ASTOUNDING DRAMA OF A CROCODILE AND A MAD COW WHO MUST BUILD A ROBOT IN A JET BOAT,2006,1,7,5,3.99,167,4.99,R,1,9
116,CANDIDATE PERDITION,A BRILLIANT EPISTLE OF A COMPOSER AND A DATABASE ADMINISTRATOR WHO MUST VANQUISH A MAD SCIENTIST IN THE FIRST MANNED SPACE STATION,2006,1,7,4,1.99,70,26.99,R,4,5
117,CANDLES GRAPES,A FANCIFUL CHARACTER STUDY OF A MONKEY AND A EXPLORER WHO MUST BUILD A ASTRONAUT IN AN ABANDONED FUN HOUSE,2006,1,7,6,1.5,135,18.99,NC-17,10,6
118,CANYON STOCK,A THOUGHTFUL REFLECTION OF A WAITRESS AND A FEMINIST WHO MUST ESCAPE A SQUIRREL IN A MANHATTAN PENTHOUSE,2006,1,7,7,3.5,85,26.99,R,2,3
119,CAPER MOTIONS,A FATEFUL SAGA OF A MOOSE AND A CAR WHO MUST PURSUE A WOMAN IN A MYSQL CONVENTION,2006,1,7,6,1.5,176,28.99,G,5,7
120,CARIBBEAN LIBERTY,A FANCIFUL TALE OF A PIONEER AND A TECHNICAL WRITER WHO MUST OUTGUN A PIONEER IN A SHARK TANK,2006,1,7,3,0.99,92,5.99,NC-17,17,4
121,CAROL TEXAS,A ASTOUNDING CHARACTER STUDY OF A COMPOSER AND A STUDENT WHO MUST OVERCOME A COMPOSER IN A MONASTERY,2006,1,7,4,4.5,151,5.99,PG,2,5
122,CARRIE BUNCH,A AMAZING EPISTLE OF A STUDENT AND A ASTRONAUT WHO MUST DISCOVER A FRISBEE IN THE CANADIAN ROCKIES,2006,1,7,7,2.5,114,21.99,PG,11,11
123,CASABLANCA SUPER,A AMAZING PANORAMA OF A CROCODILE AND A FORENSIC PSYCHOLOGIST WHO MUST PURSUE A SECRET AGENT IN THE FIRST MANNED SPACE STATION,2006,1,7,6,4.99,85,4.99,G,17,3
124,CASPER DRAGONFLY,A INTREPID DOCUMENTARY OF A BOAT AND A CROCODILE WHO MUST CHASE A ROBOT IN THE SAHARA DESERT,2006,1,7,3,0.99,163,21.99,PG-13,3,9
125,CASSIDY WYOMING,A INTREPID DRAMA OF A FRISBEE AND A HUNTER WHO MUST KILL A SECRET AGENT IN NEW ORLEANS,2006,1,7,5,4.5,61,13.99,NC-17,16,8
126,CASUALTIES ENCINO,A INSIGHTFUL YARN OF A A SHARK AND A PASTRY CHEF WHO MUST FACE A BOY IN A MONASTERY,2006,1,7,3,1.99,179,27.99,G,1,8
127,CAT CONEHEADS,A FAST-PACED PANORAMA OF A GIRL AND A A SHARK WHO MUST CONFRONT A BOY IN ANCIENT INDIA,2006,1,7,5,2.5,112,7.99,G,5,10
128,CATCH AMISTAD,A BORING REFLECTION OF A LUMBERJACK AND A FEMINIST WHO MUST DISCOVER A WOMAN IN NIGERIA,2006,1,7,7,3.5,183,13.99,G,17,10
129,CAUSE DATE,A TAUT TALE OF A EXPLORER AND A PASTRY CHEF WHO MUST CONQUER A HUNTER IN A MYSQL CONVENTION,2006,1,7,3,4.5,179,29.99,R,17,11
130,CELEBRITY HORN,A AMAZING DOCUMENTARY OF A SECRET AGENT AND A ASTRONAUT WHO MUST VANQUISH A HUNTER IN A SHARK TANK,2006,1,7,7,4.5,110,9.99,PG-13,17,8
131,CENTER DINOSAUR,A BEAUTIFUL CHARACTER STUDY OF A SUMO WRESTLER AND A DENTIST WHO MUST FIND A DOG IN CALIFORNIA,2006,1,7,5,2.5,152,20.99,PG,4,12
